ENDERECO,count
"SITIO POVOADO LAGOA FUNDA, 0 SN CASA",4
"RUA PAJE MANOEL BALTAZAR, 0 SN CASA",4
"RUA PAJE MANOEL BALTAZAR, 0 SN",3
"SITIO POVOADO MARABA, 0 SN CASA",3
"SITIO ANGICO, 0 SN CASA",3
"SITIO ITIUBA, 0 SN CASA",3
"RUA DA ALEGRIA, 0 SN CASA",2
"RUA RUA DAS PEDRINHAS, 0 SN CASA",2
"SITIO LAGOA FUNDA, 0 SN CASA",2
"SITIO POVOADO CASTRO, 0 SN CASA",2
"CONJUNTO SAO PEDRO, 0 SN CASA",2
"SITIO POVOADO ANGICO, 0 SN CASA",2
"SITIO POVOADO RIBEIRINHA, 0 SN CASA",2
"SITIO BARRA DA ITIUBA, 0 SN",2
"SITIO TAPERINHA, 0 SN",2
"SITIO PAU DE FACEIRA, 0 SN",2
"LOTEAMENTO NOSSA SENHORA DA CONCEICAO, 0 SN CASA",2
"RUA PEDRO COSTA, 0 SN CASA",2
"SITIO CARNAIBA, 0 SN CASA",2
"SITIO PAU DA FACEIRA, 0 SN",2
"SITIO PAU POMBO, 0 SN CASA",2
"SITIO PAU DE FACEIRA, 0 SN CASA",2
"CONJUNTO TANCREDO NEVES, 0 SN CASA",2
"LOTEAMENTO NOSSA SENHORA DA CONCEICAO, 0 SN",2
"SITIO RIBEIRINHA, 0 SN",1
"SITIO POVOADO RETIRO, 0 SN",1
"SITIO CANOA DE BAIXO, 0 SN",1
"ACAMPAMENTO ALDEIA KARIRI XOCO, 0 SN",1
"RUA DA AURORA, 0 SN",1
"CONJUNTO DIOCLECIO REIS, 0 SN",1
"AVENIDA ADEMARIO VIEIRA DANTAS, 0 SN",1
"CONJUNTO SANTA LUZIA, 0 SN CASA",1
"SITIO ALDEIA KARIRI XOCO, 0 SN CASA",1
"SITIO POVOADO CANOA DE BAIXO, 0 SN CASA",1
"SITIO SALOMEZINHO, 0 SN",1
"SITIO POVOADO CASTRO, 0 SN",1
"SITIO ANGICO, 0 SN",1
"SITIO BELEM 2, 0 SN CASA",1
"SITIO BARRA DA ITIUBA, 0 SN CASA",1
"SITIO TAPERA DE ITIUBA, 0 SN CASA",1
"RUA SANTO ANTONIO, 0 SN",1
"LOTEAMENTO JOSE REIS DO NASCIMENTO, 0 SN CASA",1
"RUA DAS PEDRINHAS, 0 SN CASA",1
"RUA DA INDEPENDENCIA, 0 SN",1
"SITIO TUCUNS, 0 SN CASA",1
"RUA DAS PEDRINHAS, 0 SN",1
"SITIO TAPERINHA, 0 SN CASA",1
"SITIO POVOADO CANAIBAS, 0 SN",1
"SITIO POVOADO PAU DE FACEIRA, 0 SN",1
"SITIO TAPERA, 0 SN CASA",1
"RUA DAS PEDRINHAS, 111",1
"SITIO PROJETO ITIUBA, 0 SN CASA",1
"SITIO FLEIXEIRAS, 0 SN CASA",1
"SITIO SACO DA CARNAIBA, 0 SN CASA",1
"RUA DOUTOR CLEMENTINO DO MONTE, 0 SN",1
"RUA VEREADOR ALTINO ESTEVAO, 140 CASA",1
"LOTEAMENTO POR DO SOL, 0 SN",1
"RUA DA ESTACAO, 483 CASA",1
"AVENIDA GOVERNADOR MOACIR ANDRADE, 647 CASA",1
"CONJUNTO SANTA MARIA, 326 CASA",1
"SITIO RETIRO, 0 S",1
"SITIO BELEM 1, 0 SN CASA",1
"RUA DOUTOR CLEMENTINO, 1120",1
"LOTEAMENTO NOSSA SENHORA DO SOCORRO, 0 SN",1
"RUA PROFESSORA JULHINHA REIS, 152",1
"CONJUNTO ALVORECER, 33 CAS",1
"RUA DOUTOR CLEMENTINO DO MONTE, 1168 CASA",1
"RUA DR CLEMENTINO DO MONTE, 1127",1
