UF;município;código IBGE;nome do fundo;CNPJ;nome do estabelecimento;código CNES;CNPJ;código da emenda parlamentar;valor por emenda;valor por parlamentar;valor;funcional programático;numero da proposta;numero da portaria;data
BA;SALVADOR;292740;MATERNIDADE TSYLLA BALBINO;;;;;;;;;;170013;3662.;29/04/2024
SP;SANTA CRUZ DO RIO PARDO;354640;;;;;;;;;;;198806;3646.;29/04/2024
;SANTA CRUZ DO RIO PARDO;354640;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;TIMBURI;355460;;;;;;;;;;;;3646.;29/04/2024
;IPAUSSU;352090;;;;;;;;;;;;3646.;29/04/2024
;BERNARDINO DE CAMPOS;350630;;;;;;;;;;;;3646.;29/04/2024
;CANITAR;351015;;;;;;;;;;;;3646.;29/04/2024
;CHAVANTES;355720;;;;;;;;;;;;3646.;29/04/2024
;ÓLEO;353380;;;;;;;;;;;;3646.;29/04/2024
;RIBEIRÃO DO SUL;354320;;;;;;;;;;;;3646.;29/04/2024
;SÃO PEDRO DO TURVO;355050;;;;;;;;;;;;3646.;29/04/2024
;ESPÍRITO SANTO DO TURVO;351519;;;;;;;;;;;;3646.;29/04/2024
RO;VILHENA;;FUNDO MUNICIPAL DE SAUDE;;;;;71230012;1.500.000,00;;1.500.000,00;1.500.000,00;1030251182E900011;36000599401202400;3712.;06/05/2024
TOTAL;1 PROPOSTAS;;1.500.000,00;;;;;;;;;;;;3712.;06/05/2024
AC;RIO BRANCO;120040;;;HOSPITAL DO RIM ACRE;;;;;;;;199316;3649.;06/05/2024
MG;SES/MG;310000;;;;;;;;;R$ 12.485,85;;;3728.;07/05/2024
MG;Água Comprida;310070;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Alagoa;310130;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Albertina;310140;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Antônio Prado de Minas;310310;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Araçaí;310320;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Aracitaba;310330;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Arantina;310360;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Arapuá;310380;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Argirita;310440;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Belmiro Braga;310610;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Bias Fortes;310680;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Biquinhas;310700;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cachoeira da Prata;310960;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cachoeira Dourada;310980;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Camacho;311040;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Campanário;311080;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Campo Azul;311115;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Caranaíba;311310;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Carmésia;311380;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Carvalhópolis;311470;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Casa Grande;311490;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cascalho Rico;311500;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Catas Altas da Noruega;311540;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cedro do Abaeté;311560;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Chácara;311590;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Chiador;311620;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Comendador Gomes;311690;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Conceição da Barra de Minas;311520;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Conceição das Pedras;311720;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Consolação;311850;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cordislândia;311900;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Coronel Pacheco;311960;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Coronel Xavier Chaves;311970;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Córrego Danta;311980;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Córrego Novo;312000;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Cruzeiro da Fortaleza;312070;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Desterro do Melo;312150;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Diogo de Vasconcelos;312170;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Dom Bosco;312247;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Dom Viçoso;312280;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Doresópolis;312340;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Douradoquara;312350;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Estrela Dalva;312460;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Estrela do Indaiá;312470;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Fama;312520;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Faria Lemos;312530;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Fernandes Tourinho;312580;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Fortaleza de Minas;312630;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Fortuna de Minas;312640;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Frei Lagonegro;312695;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Glaucilândia;312735;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Goiabeira;312737;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Grupiara;312790;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Guarará;312850;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Ibitiúra de Minas;312990;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Ibituruna;313000;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Ingaí;313080;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Itamarati de Minas;313260;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Itambé do Mato Dentro;313280;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Jaguaraçu;313500;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Josenópolis;313657;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Juramento;313680;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Lagoa dos Patos;313730;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Lamim;313790;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Leandro Ferreira;313830;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Maripá de Minas;314020;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Marmelópolis;314040;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Mathias Lobato;317150;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Minduri;314190;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Monjolos;314250;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Morro da Garça;314360;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Morro do Pilar;314370;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Nacip Raydan;314420;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Natalândia;314437;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Nova Belém;314467;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Nova Módica;314490;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Olaria;314540;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Olímpio Noronha;314550;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Oliveira Fortes;314570;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Onça de Pitangui;314580;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Paiva;314660;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Passa Vinte;314780;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Passabém;314750;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pedra do Anta;314880;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pedra Dourada;314900;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pedrinópolis;314920;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
