UF;município;código IBGE do município;nome do fundo;CNPJ;nome do estabelecimento;código CNES;CNPJ do estabelecimento;código da emenda parlamentar;valor por emenda;valor por parlamentar;valor;funcional programático;numero da proposta;numero da portaria;data
MG;;;;;;;;;;;;;;1675.;07/06/2018
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
;;;;;;;;;;;;;;2183.;06/12/2024
PR;;;;;;;;;;;;;;2566.;20/12/2023
PR;;;;;;;;;;;;;;2566.;20/12/2023
MG;;;;;;;;;;;;;;3306.;11/03/2024
MG;;;;;;;;;;;;;;3306.;11/03/2024
MG;;;;;;;;;;;;;;3306.;11/03/2024
MG;;;;;;;;;;;;;;3306.;11/03/2024
RJ;;;;;;;;;;;;;;3306.;11/03/2024
RS;;;;;;;;;;;;;;3306.;11/03/2024
SC;;;;;;;;;;;;;;3306.;11/03/2024
SP;;;;;;;;;;;;;;3306.;11/03/2024
TOTAL GERAL;;;;;;;;;;;;;;3306.;11/03/2024
MG;;;;;;;;;;;;;;3306.;11/03/2024
MG;;;;;;;;;;;;;;3306.;11/03/2024
SP;;;;;;;;;;;;;;3306.;11/03/2024
TOTAL GERAL;;;;;;;;;;;;;;3306.;11/03/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
AM;;;;;;;;;;;;;;3414.;09/04/2024
BA;;;;;;;;;;;;;;3414.;09/04/2024
BA;;;;;;;;;;;;;;3414.;09/04/2024
CE;;;;;;;;;;;;;;3414.;09/04/2024
ES;;;;;;;;;;;;;;3414.;09/04/2024
MA;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MT;;;;;;;;;;;;;;3414.;09/04/2024
PA;;;;;;;;;;;;;;3414.;09/04/2024
PB;;;;;;;;;;;;;;3414.;09/04/2024
PE;;;;;;;;;;;;;;3414.;09/04/2024
PE;;;;;;;;;;;;;;3414.;09/04/2024
PR;;;;;;;;;;;;;;3414.;09/04/2024
PR;;;;;;;;;;;;;;3414.;09/04/2024
RJ;;;;;;;;;;;;;;3414.;09/04/2024
RJ;;;;;;;;;;;;;;3414.;09/04/2024
SC;;;;;;;;;;;;;;3414.;09/04/2024
SC;;;;;;;;;;;;;;3414.;09/04/2024
SE;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
TO;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
;;;;;;;;;;;;;;3414.;09/04/2024
AM;;;;;;;;;;;;;;3414.;09/04/2024
BA;;;;;;;;;;;;;;3414.;09/04/2024
BA;;;;;;;;;;;;;;3414.;09/04/2024
CE;;;;;;;;;;;;;;3414.;09/04/2024
ES;;;;;;;;;;;;;;3414.;09/04/2024
MA;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MG;;;;;;;;;;;;;;3414.;09/04/2024
MT;;;;;;;;;;;;;;3414.;09/04/2024
PA;;;;;;;;;;;;;;3414.;09/04/2024
PB;;;;;;;;;;;;;;3414.;09/04/2024
PE;;;;;;;;;;;;;;3414.;09/04/2024
PE;;;;;;;;;;;;;;3414.;09/04/2024
PR;;;;;;;;;;;;;;3414.;09/04/2024
PR;;;;;;;;;;;;;;3414.;09/04/2024
RJ;;;;;;;;;;;;;;3414.;09/04/2024
RJ;;;;;;;;;;;;;;3414.;09/04/2024
SC;;;;;;;;;;;;;;3414.;09/04/2024
SC;;;;;;;;;;;;;;3414.;09/04/2024
SE;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
SP;;;;;;;;;;;;;;3414.;09/04/2024
TO;;;;;;;;;;;;;;3414.;09/04/2024
TOTAL;;;;;;;;;;;;;;3414.;09/04/2024
RJ;;;;;;;;;;;;;;3499.;18/04/2024
RJ;;;;;;;;;;;;;;3499.;18/04/2024
RS;;;;;;;;;;;;;;3634.;29/04/2024
MT;;;;;;;;;;;;;;3635.;06/05/2024
MG;;;;;;;;;;;;;;3638.;06/05/2024
;;;;;;;;;;;;;;3638.;06/05/2024
MG;;;;;;;;;;;;;;3638.;06/05/2024
;;;;;;;;;;;;;;3638.;06/05/2024
MG;;;;;;;;;;;;;;3638.;06/05/2024
;;;;;;;;;;;;;;3638.;06/05/2024
;;;;;;;;;;;;;;3638.;06/05/2024
MG;;;;;;;;;;;;;;3638.;06/05/2024
GO;;;;;;;;;;;;;;3640.;07/05/2024
BA;;;;;;;;;;;;;;3643.;06/05/2024
SC;;;;;;;;;;;;;;3644.;06/05/2024
PA;;;;;;;;;;;;;;3645.;07/05/2024
SP;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
;;;;;;;;;;;;;;3646.;29/04/2024
BA;;;;;;;;;;;;;;3647.;29/04/2024
PB;;;;;;;;;;;;;;3648.;06/05/2024
AC;;;;;;;;;;;;;;3649.;06/05/2024
GO;;;;;;;;;;;;;;3650.;06/05/2024
RO;;;;;;;;;;;;;;3651.;29/04/2024
RJ;;;;;;;;;;;;;;3652.;07/05/2024
RJ;;;;;;;;;;;;;;3652.;07/05/2024
MT;;;;;;;;;;;;;;3654.;07/05/2024
SC;;;;;;;;;;;;;;3655.;29/04/2024
;;;;;;;;;;;;;;3655.;29/04/2024
PE;;;;;;;;;;;;;;3656.;06/05/2024
SC;;;;;;;;;;;;;;3657.;29/04/2024
SC;;;;;;;;;;;;;;3657.;29/04/2024
PE;;;;;;;;;;;;;;3658.;07/05/2024
SC;;;;;;;;;;;;;;3659.;29/04/2024
PE;;;;;;;;;;;;;;3660.;06/05/2024
BA;;;;;;;;;;;;;;3661.;03/05/2024
;;;;;;;;;;;;;;3661.;03/05/2024
TOTAL;;;;;;;;;;;;;;3661.;03/05/2024
BA;;;;;;;;;;;;;;3662.;29/04/2024
PI;;;;;;;;;;;;;;3682.;30/04/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
;;;;;;;;;;;;;;3688.;02/05/2024
GO;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
;;;;;;;;;;;;;;3692.;03/05/2024
GO;;;;;;;;;;;;;;3700.;03/05/2024
;;;;;;;;;;;;;;3700.;03/05/2024
;;;;;;;;;;;;;;3700.;03/05/2024
;;;;;;;;;;;;;;3700.;03/05/2024
TOTAL;;;;;;;;;;;;;;3700.;03/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3708.;06/05/2024
TOTAL;;;;;;;;;;;;;;3708.;06/05/2024
RS;;;;;;;;;;;;;;3709.;06/05/2024
TOTAL;;;;;;;;;;;;;;3709.;06/05/2024
RO;;;;;;;;;;;;;;3712.;06/05/2024
TOTAL;;;;;;;;;;;;;;3712.;06/05/2024
AL;;;;;;;;;;;;;;3716.;06/05/2024
MA;;;;;;;;;;;;;;3716.;06/05/2024
MG;;;;;;;;;;;;;;3716.;06/05/2024
MG;;;;;;;;;;;;;;3716.;06/05/2024
PA;;;;;;;;;;;;;;3716.;06/05/2024
PB;;;;;;;;;;;;;;3716.;06/05/2024
PI;;;;;;;;;;;;;;3716.;06/05/2024
PR;;;;;;;;;;;;;;3716.;06/05/2024
PR;;;;;;;;;;;;;;3716.;06/05/2024
SC;;;;;;;;;;;;;;3716.;06/05/2024
SC;;;;;;;;;;;;;;3716.;06/05/2024
TOTAL;;;;;;;;;;;;;;3716.;06/05/2024
AC;;;;;;;;;;;;;;3717.;06/05/2024
AL;;;;;;;;;;;;;;3717.;06/05/2024
AL;;;;;;;;;;;;;;3717.;06/05/2024
AL;;;;;;;;;;;;;;3717.;06/05/2024
BA;;;;;;;;;;;;;;3717.;06/05/2024
ES;;;;;;;;;;;;;;3717.;06/05/2024
GO;;;;;;;;;;;;;;3717.;06/05/2024
GO;;;;;;;;;;;;;;3717.;06/05/2024
GO;;;;;;;;;;;;;;3717.;06/05/2024
GO;;;;;;;;;;;;;;3717.;06/05/2024
MA;;;;;;;;;;;;;;3717.;06/05/2024
MG;;;;;;;;;;;;;;3717.;06/05/2024
MG;;;;;;;;;;;;;;3717.;06/05/2024
MS;;;;;;;;;;;;;;3717.;06/05/2024
PA;;;;;;;;;;;;;;3717.;06/05/2024
PI;;;;;;;;;;;;;;3717.;06/05/2024
PR;;;;;;;;;;;;;;3717.;06/05/2024
PR;;;;;;;;;;;;;;3717.;06/05/2024
PR;;;;;;;;;;;;;;3717.;06/05/2024
